day,date,position,shares_L,shares_O,z_score,price_L,price_O
239,Y0-M12-D03,1,200,-1430,-0.7287194483213738,206.41,31.09
240,Y0-M12-D04,1,200,-1430,-0.6659510650809864,201.43,30.01
241,Y0-M12-D07,1,200,-1430,-0.3471332507376914,208.28,29.02
242,Y0-M12-D08,1,200,-1430,-0.4823739856615837,202.3,29.01
243,Y0-M12-D09,1,200,-1430,-0.34810575353629913,207.88,28.97
244,Y0-M12-D10,1,200,-1430,-0.514680986627686,199.53,28.82
245,Y0-M12-D11,1,200,-1430,-0.49089531594512725,195.85,28.16
246,Y0-M12-D14,1,200,-1430,-0.30832167621534823,192.1,26.52
247,Y0-M12-D15,1,200,-1430,-0.48169718724168614,186.17,26.75
248,Y0-M12-D16,1,200,-1430,-0.40213182164874656,186.5,26.31
249,Y0-M12-D17,1,200,-1430,-0.5575884344543516,185.5,27.12
250,Y0-M12-D18,1,200,-1430,-0.790920630106793,175.02,27.08
251,Y0-M12-D21,1,200,-1430,-0.862829388163456,174.81,27.49
252,Y0-M12-D22,1,200,-1430,-0.9249527286541239,174.67,27.85
253,Y0-M12-D23,1,200,-1430,-1.1092925082226421,168.69,28.14
254,Y0-M12-D24,1,200,-1430,-1.1009087433908176,175.42,29.03
255,Y0-M12-D25,1,200,-1430,-1.0957306169667465,183.44,30.12
256,Y0-M12-D28,1,200,-1430,-1.0745055419422218,175.93,28.94
257,Y0-M12-D29,1,200,-1430,-1.0495811690995978,179.45,29.28
258,Y0-M12-D30,1,200,-1430,-0.9050578879451583,184.62,29.12
259,Y0-M12-D31,1,200,-1430,-0.7562295962598573,187.69,28.64
260,Y1-M01-D01,1,200,-1430,-0.8275667002552111,188.22,29.15
261,Y1-M01-D04,1,200,-1430,-1.0791078944101185,191.96,31.21
262,Y1-M01-D05,1,200,-1430,-1.0774070828253237,197.54,31.98
263,Y1-M01-D06,1,200,-1430,-0.8596563242050426,199.76,30.96
264,Y1-M01-D07,1,200,-1430,-0.9248511921236594,204.92,32.08
265,Y1-M01-D08,1,200,-1430,-0.6849666997320766,208.25,31.08
