Day,Combined_Equity,Pairs_Equity,StockV_Equity,StockQ_Equity,HMM_Equity,Seasonality_Equity,Regime
2199,201273.21013000005,10884.43616578948,25145.60606210529,17622.308262105267,80780.10909,46840.75055000002,HIGH
2200,202857.18013000008,10884.43616578948,25145.60606210529,17851.408262105266,82134.97909000001,46840.75055000002,HIGH
2201,205113.91013000006,10884.43616578948,25145.60606210529,17636.808262105267,84606.30909,46840.75055000002,HIGH
2202,206188.47013000006,10884.43616578948,25145.60606210529,17771.948262105267,85545.72909000001,46840.75055000002,HIGH
2203,206700.57013000004,10884.43616578948,25145.60606210529,18106.028262105265,85723.74909,46840.75055000002,HIGH
2204,205169.12013000005,10884.43616578948,25145.60606210529,18234.788262105263,84063.53909,46840.75055000002,HIGH
2205,204467.65013000005,10884.43616578948,25145.60606210529,18224.348262105264,83372.50909,46840.75055000002,HIGH
2206,204297.01013000007,10884.43616578948,25145.60606210529,18211.008262105264,83215.20909,46840.75055000002,HIGH
2207,202961.47013000006,10884.43616578948,25145.60606210529,18304.968262105263,81785.70909,46840.75055000002,HIGH
2208,201792.82013000007,10884.43616578948,25145.60606210529,18214.488262105267,80707.53909,46840.75055000002,HIGH
2209,201403.51013000007,10884.43616578948,25145.60606210529,18336.868262105265,80195.84909,46840.75055000002,HIGH
2210,202366.39013000004,10884.43616578948,25145.60606210529,18381.528262105265,81114.06909,46840.75055000002,HIGH
2211,201553.90013000005,10884.43616578948,25145.60606210529,18436.628262105263,80246.47909,46840.75055000002,HIGH
2212,200568.08013000007,10884.43616578948,25145.60606210529,18366.448262105267,79330.83909000001,46840.75055000002,HIGH
2213,200261.68013000008,10884.43616578948,25145.60606210529,18186.648262105264,79204.23909000002,46840.75055000002,HIGH
2214,198496.37013000005,10884.43616578948,25145.60606210529,18186.068262105262,77439.50909,46840.75055000002,HIGH
2215,200857.04013000004,10884.43616578948,25145.60606210529,18041.068262105262,79945.17908999999,46840.75055000002,HIGH
2216,202035.38013000006,10884.43616578948,25145.60606210529,17979.008262105264,81185.57909,46840.75055000002,HIGH
2217,202841.59013000006,10884.43616578948,25145.60606210529,17977.848262105264,81992.94909000001,46840.75055000002,HIGH
2218,202582.02013000005,10884.43616578948,25145.60606210529,17874.608262105263,81836.61909,46840.75055000002,HIGH
2219,203814.97013000006,10884.43616578948,25145.60606210529,17695.968262105263,83248.20909,46840.75055000002,HIGH
2220,202466.32013000004,10884.43616578948,25145.60606210529,17593.88826210526,82001.63909,46840.75055000002,HIGH
2221,201339.22013000006,10884.43616578948,25145.60606210529,17749.328262105264,80719.09909,46840.75055000002,HIGH
2222,202282.75013000006,10884.43616578948,25145.60606210529,17770.208262105265,81641.74909,46840.75055000002,HIGH
2223,202434.64013000007,10884.43616578948,25145.60606210529,17973.208262105265,81590.63909000001,46840.75055000002,HIGH
2224,202064.28013000006,10884.43616578948,25145.60606210529,18283.508262105264,80909.97909,46840.75055000002,HIGH
2225,202645.2501300001,10884.43616578948,25145.60606210529,18222.028262105265,81552.42909000002,46840.75055000002,HIGH
2226,201606.44013000006,10884.43616578948,25145.60606210529,18138.508262105264,80597.13909,46840.75055000002,HIGH
2227,203168.50013000003,10884.43616578948,25145.60606210529,18025.988262105267,82271.71908999998,46840.75055000002,HIGH
2228,205146.87013000005,10884.43616578948,25145.60606210529,18041.068262105262,84235.00909,46840.75055000002,HIGH
2229,204134.47013000006,10884.43616578948,25145.60606210529,17965.668262105268,83298.00909,46840.75055000002,HIGH
2230,204493.57013000007,10884.43616578948,25145.60606210529,17847.928262105266,83774.84909,46840.75055000002,HIGH
2231,205299.24038000006,10878.916415789481,25145.60606210529,17850.248262105262,84583.71909,46840.75055000002,HIGH
2232,206172.43038000006,10851.26641578948,25145.60606210529,17821.828262105264,85512.97909000001,46840.75055000002,HIGH
2233,205567.81038000007,10888.98641578948,25145.60606210529,17695.968262105263,84996.49909000001,46840.75055000002,HIGH
2234,206744.57038000005,10853.836415789481,25145.60606210529,17947.688262105265,85956.68908999999,46840.75055000002,HIGH
2235,205891.24038000006,10886.15641578948,25145.60606210529,18064.848262105264,84953.87909,46840.75055000002,HIGH
2236,206966.49038000006,10936.72641578948,25145.60606210529,18175.048262105265,85868.35909,46840.75055000002,HIGH
2237,206330.58038000003,11019.02641578948,25145.60606210529,18220.868262105265,85104.32908999998,46840.75055000002,HIGH
2238,206151.47038000007,11029.166415789481,25145.60606210529,18082.828262105264,85053.11909000001,46840.75055000002,HIGH
2239,207173.04038000005,11077.30641578948,25145.60606210529,18164.028262105265,85945.34909,46840.75055000002,HIGH
2240,208282.96038000006,11148.026415789482,25145.60606210529,18187.808262105267,86960.76909,46840.75055000002,HIGH
2241,210533.79038000008,11129.436415789482,25145.60606210529,18198.828262105264,89219.16909000001,46840.75055000002,HIGH
2242,209149.64038000006,11128.776415789482,25145.60606210529,18331.648262105264,87702.85908999998,46840.75055000002,HIGH
2243,207738.57038000008,11165.426415789481,25145.60606210529,18250.448262105267,86336.33909000001,46840.75055000002,HIGH
2244,208234.10038000008,11042.926415789483,25145.60606210529,18224.348262105264,86980.46909000001,46840.75055000002,HIGH
2245,211202.23038000005,10965.17641578948,25145.60606210529,18389.648262105264,89861.04909,46840.75055000002,HIGH
2246,210380.79038000005,10976.006415789481,25145.60606210529,18267.848262105264,89150.57909,46840.75055000002,HIGH
2247,210655.42038000008,11024.586415789481,25145.60606210529,18487.088262105266,89157.38909000001,46840.75055000002,HIGH
2248,209444.35038000005,11047.426415789481,25145.60606210529,18449.38826210526,87961.17909,46840.75055000002,HIGH
2249,210259.0803800001,11091.226415789482,25145.60606210529,18262.628262105263,88918.86909000001,46840.75055000002,HIGH
2250,209391.22038000007,11184.94641578948,25145.60606210529,18471.428262105266,87748.48909,46840.75055000002,HIGH
2251,210387.37038000007,11108.73641578948,25145.60606210529,18400.088262105266,88892.18909,46840.75055000002,HIGH
2252,212602.92038000005,11136.256415789481,25145.60606210529,18120.528262105265,91359.77909000001,46840.75055000002,HIGH
2253,212580.80038000006,11134.46641578948,25145.60606210529,18172.728262105265,91287.24909,46840.75055000002,HIGH
2254,211367.86038000006,11164.316415789483,25145.60606210529,18169.828262105264,90047.35909000001,46840.75055000002,HIGH
2255,211591.47038000004,11140.606415789482,25145.60606210529,18211.588262105266,90252.91909,46840.75055000002,HIGH
2256,211382.63038000008,11157.886415789482,25145.60606210529,18314.828262105264,89923.55909000001,46840.75055000002,HIGH
2257,210756.35038000008,11123.886415789482,25145.60606210529,18340.348262105264,89305.75909,46840.75055000002,HIGH
2258,210499.8403800001,11017.80641578948,25145.60606210529,18093.848262105264,89401.82909000001,46840.75055000002,HIGH
2259,210654.65038000006,10929.62641578948,25145.60606210529,18216.228262105265,89522.43909,46840.75055000002,HIGH
2260,209585.87038000007,10933.576415789481,25145.60606210529,18084.568262105262,88581.36909,46840.75055000002,HIGH
2261,212622.28038000007,10818.39641578948,25145.60606210529,18255.668262105268,91561.85909,46840.75055000002,HIGH
2262,211813.22038000007,10908.80641578948,25145.60606210529,18539.868262105265,90378.18909000001,46840.75055000002,HIGH
2263,211630.77038000006,10822.64641578948,25145.60606210529,18432.568262105262,90389.19909,46840.75055000002,HIGH
2264,211862.70038000008,10700.30641578948,25145.60606210529,18571.768262105266,90604.26909,46840.75055000002,HIGH
